1 	 28.0203 	 3506
2 	 40.5115 	 3056
3 	 58.6639 	 3505
4 	 77.5727 	 4025
5 	 92.458 	 4362
6 	 106.077 	 5082
7 	 122.034 	 4898
8 	 139.204 	 5099
9 	 159.402 	 5245
10 	 181.123 	 5223
11 	 200.065 	 5033
12 	 220.425 	 4565
13 	 236.802 	 4194
14 	 255.893 	 3746
15 	 272.381 	 3261
16 	 287.053 	 2714
17 	 301.416 	 2311
18 	 311.307 	 1898
19 	 321.593 	 1561
20 	 332.603 	 1274
21 	 343.931 	 1049
22 	 348.073 	 846
23 	 352.66 	 717
24 	 359.597 	 585
25 	 363.523 	 417
26 	 376.911 	 372
27 	 377.55 	 300
28 	 383.11 	 237
29 	 390.469 	 209
30 	 400.504 	 129
31 	 399.863 	 95
32 	 411.662 	 74
33 	 409 	 47
34 	 421.207 	 29
35 	 451.588 	 17
36 	 416.536 	 28
37 	 425 	 16
38 	 449.833 	 12
39 	 421.556 	 9
40 	 410.5 	 4
41 	 446 	 2
42 	 460.333 	 6
43 	 462 	 1
46 	 458 	 1
