1 	 255 	 10 	 176
2 	 7 	 3 	 5
3 	 225 	 8 	 12
4 	 21 	 1 	 142
5 	 187 	 10 	 239
4 	 185 	 9 	 175
1 	 253 	 8 	 203
3 	 73 	 8 	 180
4 	 223 	 14 	 32
5 	 89 	 8 	 101
1 	 197 	 7 	 234
2 	 131 	 9 	 23
3 	 41 	 3 	 73
4 	 289 	 10 	 38
5 	 120 	 5 	 169
1 	 49 	 4 	 16
2 	 255 	 10 	 10
3 	 371 	 20 	 80
4 	 147 	 10 	 88
5 	 25 	 2 	 142
1 	 71 	 4 	 209
2 	 365 	 11 	 149
3 	 267 	 9 	 117
4 	 63 	 7 	 143
5 	 221 	 12 	 64
1 	 249 	 15 	 119
2 	 331 	 18 	 180
3 	 101 	 7 	 92
4 	 258 	 14 	 64
5 	 467 	 32 	 102
1 	 23 	 1 	 55
2 	 305 	 15 	 214
3 	 39 	 7 	 90
4 	 229 	 9 	 112
5 	 107 	 8 	 245
2 	 193 	 6 	 148
3 	 285 	 9 	 42
5 	 145 	 10 	 79
1 	 368 	 11 	 122
2 	 173 	 9 	 9
3 	 336 	 11 	 249
4 	 183 	 18 	 225
5 	 35 	 4 	 52
1 	 365 	 12 	 23
2 	 193 	 8 	 216
3 	 55 	 4 	 117
4 	 435 	 14 	 39
5 	 85 	 10 	 28
1 	 105 	 4 	 220
2 	 237 	 10 	 16
3 	 281 	 9 	 34
4 	 275 	 7 	 57
5 	 71 	 4 	 145
1 	 325 	 11 	 52
4 	 189 	 11 	 200
5 	 409 	 18 	 96
1 	 83 	 5 	 190
2 	 69 	 4 	 125
3 	 167 	 6 	 209
4 	 129 	 7 	 154
5 	 87 	 5 	 13
1 	 135 	 6 	 103
2 	 71 	 2 	 102
2 	 80 	 4 	 56
3 	 306 	 6 	 240
4 	 437 	 15 	 50
5 	 297 	 15 	 85
1 	 151 	 11 	 156
1 	 157 	 11 	 174
2 	 339 	 14 	 187
3 	 107 	 7 	 216
4 	 31 	 1 	 23
5 	 189 	 12 	 246
1 	 157 	 8 	 190
5 	 105 	 6 	 112
1 	 99 	 11 	 163
2 	 281 	 18 	 93
3 	 319 	 18 	 121
4 	 231 	 17 	 236
5 	 353 	 19 	 138
1 	 339 	 11 	 215
2 	 229 	 7 	 30
3 	 253 	 9 	 66
4 	 193 	 8 	 133
2 	 377 	 13 	 42
4 	 110 	 6 	 110
5 	 61 	 4 	 8
1 	 27 	 1 	 63
2 	 25 	 1 	 81
3 	 195 	 9 	 182
4 	 175 	 8 	 176
5 	 385 	 13 	 217
1 	 103 	 5 	 198
2 	 45 	 4 	 248
3 	 319 	 11 	 110
4 	 241 	 13 	 182
1 	 139 	 5 	 220
2 	 315 	 7 	 231
3 	 205 	 13 	 9
4 	 65 	 6 	 68
5 	 95 	 5 	 216
1 	 49 	 3 	 139
2 	 157 	 7 	 176
3 	 181 	 8 	 247
4 	 101 	 4 	 226
5 	 341 	 14 	 192
1 	 97 	 3 	 59
