1 	 209.473 	 3342
2 	 211.957 	 2440
3 	 215.811 	 3375
4 	 221.217 	 3796
5 	 224.999 	 4157
6 	 227.68 	 4668
7 	 229.806 	 4747
8 	 233.134 	 4912
9 	 234.899 	 4912
10 	 237.751 	 4898
11 	 240.289 	 4643
12 	 241.917 	 4277
13 	 244.316 	 3978
14 	 246.466 	 3522
15 	 247.838 	 3085
16 	 249.064 	 2649
17 	 251.876 	 2222
18 	 253.015 	 1801
19 	 254.383 	 1556
20 	 255.064 	 1238
21 	 256.921 	 1051
22 	 259.274 	 831
23 	 261.319 	 690
24 	 263.164 	 573
25 	 263.834 	 446
26 	 265.356 	 368
27 	 268.273 	 304
28 	 268.065 	 230
29 	 271.557 	 203
30 	 272.683 	 142
31 	 273.794 	 97
32 	 275.472 	 89
33 	 276.367 	 49
34 	 279.107 	 28
35 	 282.111 	 18
36 	 277.2 	 30
37 	 282 	 17
38 	 280.071 	 14
39 	 274.273 	 11
40 	 262.5 	 2
41 	 288.25 	 4
42 	 281.75 	 8
43 	 290 	 1
46 	 293 	 1
