1 	 0.0188689 	 3342
2 	 0.0494555 	 2440
3 	 0.0781303 	 3375
4 	 0.108072 	 3796
5 	 0.137488 	 4157
6 	 0.166826 	 4668
7 	 0.195835 	 4747
8 	 0.224785 	 4912
9 	 0.254092 	 4912
10 	 0.283557 	 4898
11 	 0.312372 	 4643
12 	 0.341577 	 4277
13 	 0.37053 	 3978
14 	 0.399597 	 3522
15 	 0.42916 	 3085
16 	 0.45736 	 2649
17 	 0.487084 	 2222
18 	 0.516444 	 1801
19 	 0.544895 	 1556
20 	 0.574037 	 1238
21 	 0.603717 	 1051
22 	 0.632654 	 831
23 	 0.660689 	 690
24 	 0.690678 	 573
25 	 0.718461 	 446
26 	 0.747483 	 368
27 	 0.778405 	 304
28 	 0.806557 	 230
29 	 0.835052 	 203
30 	 0.864923 	 142
31 	 0.889639 	 97
32 	 0.921781 	 89
33 	 0.945898 	 49
34 	 0.97592 	 28
35 	 1.01084 	 18
36 	 1.03646 	 30
37 	 1.06446 	 17
38 	 1.09971 	 14
39 	 1.12659 	 11
40 	 1.12967 	 2
41 	 1.16589 	 4
42 	 1.20139 	 8
43 	 1.2291 	 1
46 	 1.32935 	 1
