1 	 0.0165749 	 1768
2 	 0.0465491 	 2163
3 	 0.0762458 	 2947
4 	 0.106022 	 3528
5 	 0.135421 	 3974
6 	 0.165148 	 4579
7 	 0.20174 	 4839
8 	 0.253926 	 5134
9 	 0.31757 	 5662
10 	 0.395128 	 5923
11 	 0.486938 	 5920
12 	 0.593022 	 5691
13 	 0.712461 	 5814
14 	 0.848083 	 5607
15 	 1.00083 	 5196
16 	 1.16846 	 4679
17 	 1.35238 	 4248
18 	 1.55591 	 3775
19 	 1.77323 	 3291
20 	 2.00383 	 2691
21 	 2.2543 	 2200
22 	 2.53486 	 1712
23 	 2.81463 	 1325
24 	 3.10646 	 1044
25 	 3.43472 	 815
26 	 3.76879 	 628
27 	 4.12093 	 527
28 	 4.5 	 420
29 	 4.89946 	 297
30 	 5.29072 	 230
31 	 5.74322 	 200
32 	 6.11964 	 146
33 	 6.63156 	 140
34 	 7.10609 	 92
35 	 7.58299 	 70
36 	 8.07097 	 55
37 	 8.59957 	 41
38 	 9.16408 	 26
39 	 9.71833 	 11
40 	 6.01929 	 2
