1 0.449666 7
2 2.54443 18
3 2.12393 15
4 1.11919 11
5 0.166024 6
1 0.32422 6
2 2.75125 17
3 0.144823 5
4 0.204859 6
5 0.571595 12
1 0.586476 8
2 0.441936 7
3 3.09944 18
4 3.83647 20
5 0.197627 7
1 5.53129 24
2 0.0158898 1
3 0.814898 14
4 0.589532 8
5 1.32209 17
1 2.42699 16
2 0.96434 15
3 0.483034 11
4 3.08992 18
5 0.986653 15
1 0.320514 6
2 2.7359 17
3 0.360687 8
4 0.209492 7
1 4.23396 21
2 1.12109 14
3 0.0495107 2
4 1.01541 15
5 1.92978 20
1 1.12745 11
2 1.64767 18
3 0.847864 11
4 0.166556 6
5 0.839003 14
1 0.742648 9
2 1.94548 16
3 0.453555 7
4 0.169602 6
5 0.474008 11
1 1.57768 13
2 1.15944 16
3 1.32901 17
4 0.47168 11
5 1.44677 15
1 1.35367 12
2 0.220296 5
3 1.47102 14
5 0.0182898 1
1 1.34815 12
3 4.17598 22
4 1.94132 20
5 0.0769781 3
1 0.450159 7
2 0.098438 4
3 1.11633 11
4 0.376674 10
5 2.24219 17
1 5.56707 24
2 0.276493 8
3 0.11158 4
4 0.833576 14
5 0.194689 7
1 1.33551 12
2 0.208147 7
3 0.522138 9
4 0.319061 6
5 0.0971755 4
1 1.3409 12
2 0.0125348 1
3 1.11504 11
4 1.21238 13
5 1.94476 16
1 1.83459 14
2 4.35471 23
3 0.282304 8
4 0.0137078 1
5 0.383699 8
1 4.64179 22
2 0.836449 14
3 1.21348 16
4 0.435137 10
5 0.488066 11
1 0.93155 10
2 2.74606 17
3 0.385072 8
4 4.7029 25
5 0.920453 10
1 1.83612 14
2 0.609082 9
3 0.212875 7
4 0.256841 8
5 0.200685 7
1 0.588403 8
2 3.8379 20
3 0.324644 6
4 0.540961 11
5 3.99336 27
1 1.58343 13
2 0.371505 9
3 0.744417 9
4 1.79238 14
5 0.969087 15
1 1.59367 13
2 0.310602 9
3 0.432436 7
4 3.0914 18
5 0.182742 6
1 0.753592 9
2 0.604567 12
3 0.145375 4
4 0.72697 12
5 0.46917 11
1 2.12651 15
2 3.21513 20
4 1.92553 20
5 0.567652 12
1 0.0832657 3
2 0.0461966 2
3 0.0173001 1
4 0.931271 10
5 1.1418 12
1 6.53171 26
2 1.9268 20
3 0.470937 11
4 6.74666 30
5 0.151858 5
1 0.753999 9
2 0.440457 7
3 0.0496595 2
4 0.382757 8
5 1.80566 18
1 0.573799 8
2 2.41884 16
3 2.73981 17
4 0.858896 14
5 2.05535 20
1 1.57955 13
2 2.12866 15
3 3.84183 23
4 0.361332 8
5 0.574761 10
1 0.917926 10
2 0.102626 4
3 1.29267 14
4 4.22776 21
5 1.36896 14
1 4.63066 22
2 1.01591 15
3 0.508324 11
4 0.806232 13
5 0.686572 13
1 0.140344 4
2 1.58019 13
3 0.198165 7
4 2.26004 17
5 0.671329 12
1 0.427013 7
2 1.62914 14
3 0.466955 11
4 2.30751 19
5 0.0788349 3
1 1.33263 12
2 0.247387 8
3 0.496494 11
4 1.72266 19
5 0.202403 7
1 0.44918 7
2 2.20834 17
3 1.11965 11
4 1.11551 11
5 0.705068 13
1 1.8542 14
2 1.21902 13
3 0.0466749 2
4 3.53762 21
5 2.53596 18
1 0.224012 5
2 1.01637 12
3 0.665636 10
4 0.172629 6
5 1.01202 12
1 0.748953 9
2 6.50125 26
3 0.0376648 2
4 4.39171 23
5 2.88738 23
1 9.99355 32
3 0.0508526 2
4 1.28746 17
5 4.39215 28
1 2.42369 16
2 0.817579 11
3 1.01116 12
4 2.87482 19
5 0.889599 14
1 0.440252 7
2 2.12292 15
3 0.160898 6
4 1.39412 15
5 1.92927 20
1 6.51774 26
2 0.0723251 3
4 0.0778861 3
5 0.86371 12
1 0.222153 5
2 1.84962 14
3 2.12623 15
4 0.166217 6
5 0.798667 12
1 1.1285 11
2 1.75997 16
3 1.69749 19
4 0.0184858 1
5 1.50735 18
1 1.35896 12
2 2.03108 19
3 0.582094 12
4 1.0044 15
5 0.0742622 3
1 0.928185 10
2 0.323955 8
3 0.325936 6
4 4.2067 21
5 0.17124 6
1 2.12422 15
2 5.2444 25
3 2.12638 15
4 3.33657 21
5 0.311377 9
1 0.223925 5
2 0.592629 8
3 0.322032 6
4 0.315128 9
5 1.10678 15
1 2.41252 16
2 1.19948 15
3 0.30677 9
4 0.917079 10
5 0.695537 13
1 4.22583 21
3 2.24262 21
4 0.109838 4
5 0.32269 9
1 0.735393 9
2 0.0664718 3
3 2.79349 19
4 0.815575 11
5 0.81563 14
1 2.14151 15
2 4.65308 22
3 1.01338 14
4 0.383394 10
5 0.706955 13
1 0.456696 7
2 7.0394 27
3 0.825412 11
4 0.572931 12
5 3.83018 24
1 5.54521 24
2 0.518329 9
3 0.513786 9
4 0.826371 14
5 3.52727 22
1 4.60796 22
2 0.0896317 3
3 0.570524 10
4 3.90624 22
5 1.12033 16
1 1.83629 14
2 1.84902 14
3 0.0486974 2
4 1.17166 16
5 2.80742 18
1 2.12012 15
2 1.27588 15
3 0.286788 7
4 1.41778 14
5 0.196116 7
1 3.82605 20
2 3.69271 20
3 3.44743 21
4 0.568364 12
5 0.824081 14
1 6.48758 26
2 1.95535 16
3 0.17679 6
4 0.0783395 3
5 0.819299 11
1 2.41331 16
2 0.202756 7
3 2.41291 16
4 0.0169742 1
5 0.48678 11
1 3.42968 19
2 0.0667147 3
3 4.64168 22
4 1.69402 15
5 0.395042 10
1 2.74413 17
2 0.321053 6
3 1.6374 16
4 0.46741 11
5 0.0484224 2
1 2.12191 15
2 1.30041 12
3 0.394256 9
4 0.470929 11
5 0.16591 6
1 0.446942 7
2 0.521107 9
3 2.41271 16
4 1.45056 17
5 1.49359 17
1 0.237737 5
2 0.921005 10
3 0.213856 5
4 0.131756 5
5 3.90012 21
1 1.58329 13
2 1.1285 11
3 0.474987 11
