0	10	3	3	3
1	9	2	4	7
2	16	3	4	9
3	13	2	4	5
4	24	5	5	6
5	15	2	1	6
6	20	3	4	5
7	16	3	3	3
8	13	1	2	3
9	8	2	3	9
10	17	2	4	8
11	7	2	0	4
12	16	4	4	5
13	11	0	4	4
14	13	4	0	4
15	16	2	5	3
16	19	0	1	4
17	17	3	4	7
18	15	4	7	6
19	12	4	3	9
20	14	1	3	3
21	14	3	2	6
22	11	1	3	5
23	4	7	4	4
24	17	5	3	8
25	9	1	2	5
26	14	6	8	5
27	21	3	3	3
28	13	3	0	4
29	9	12	10	3
30	17	1	2	6
31	16	2	3	8
32	17	2	1	6
33	11	5	4	4
34	10	5	4	6
35	18	4	4	5
36	12	5	5	9
37	10	4	3	6
38	13	3	5	2
39	19	2	4	5
40	13	2	4	8
41	15	1	4	3
42	19	3	2	5
43	8	1	8	5
44	15	8	7	2
45	12	1	5	0
46	9	0	5	1
47	14	1	2	3
48	14	2	2	7
49	2	1	1	6
50	18	1	0	3
51	16	5	7	7
52	16	2	3	6
53	25	3	0	1
54	18	5	9	9
55	19	2	5	5
56	20	2	2	5
57	12	4	1	3
58	10	3	3	8
59	22	7	7	5
60	10	2	4	2
61	10	3	3	2
62	17	3	4	6
63	12	1	6	8
64	13	1	1	5
65	18	5	7	5
66	11	2	0	7
67	17	3	5	1
68	14	1	4	2
69	13	1	1	2
70	20	7	7	7
71	15	0	5	2
72	13	3	2	7
73	13	0	4	4
74	17	4	8	2
75	18	5	4	8
76	17	1	3	3
77	12	2	2	7
78	8	2	4	2
79	14	11	8	10
80	15	3	3	8
81	12	4	8	7
82	18	3	4	6
83	17	1	2	5
84	5	0	5	4
85	16	2	9	5
86	6	1	1	7
87	14	4	5	2
88	14	1	1	5
89	26	13	13	16
90	19	0	2	3
91	7	2	3	4
92	12	1	6	5
93	19	2	4	5
94	19	2	5	2
95	11	1	1	5
96	7	1	4	7
97	16	11	7	10
98	14	3	4	5
99	7	7	7	4
100	9	8	7	5
101	12	5	7	2
102	17	3	1	4
103	12	2	2	3
104	13	21	21	8
105	11	4	3	3
106	21	3	0	3
107	20	6	7	7
108	19	7	3	4
109	16	3	7	7
110	17	1	1	4
111	10	6	6	7
112	11	4	2	6
113	12	4	4	0
114	9	3	2	6
115	9	3	4	1
116	11	5	3	4
117	10	3	5	3
118	13	5	2	6
119	17	5	2	4
120	12	3	6	5
121	14	4	6	5
122	14	1	2	9
123	30	17	18	22
124	13	7	3	4
125	12	1	1	7
126	21	8	5	4
127	8	5	8	3
128	13	1	4	4
129	8	4	5	7
130	23	3	12	13
131	11	3	1	7
132	14	2	2	4
133	15	4	1	4
134	10	6	3	4
135	13	5	6	10
136	13	2	4	4
137	20	3	2	10
138	11	0	1	5
139	17	2	6	10
140	12	3	3	1
141	13	0	1	3
142	7	1	2	3
143	9	8	7	6
144	16	5	6	5
145	16	8	1	5
146	11	0	0	5
147	14	2	3	2
148	16	1	1	8
149	9	3	2	6
150	10	2	4	5
151	14	3	2	6
152	15	2	0	6
153	9	0	0	5
154	12	3	3	3
155	20	3	2	4
156	14	2	4	8
157	9	4	0	4
158	8	1	2	3
159	13	3	5	7
160	15	6	4	7
161	11	3	2	2
162	15	5	1	4
163	14	1	1	2
164	10	6	9	8
