1 	 0.0161742 	 1763
2 	 0.0465769 	 1868
3 	 0.0767225 	 2749
4 	 0.106437 	 3260
5 	 0.136087 	 3827
6 	 0.165991 	 4291
7 	 0.196128 	 4677
8 	 0.225531 	 4917
9 	 0.255273 	 5334
10 	 0.285032 	 5522
11 	 0.3146 	 5609
12 	 0.344357 	 5416
13 	 0.374042 	 5521
14 	 0.404006 	 5314
15 	 0.433564 	 4860
16 	 0.463205 	 4419
17 	 0.493051 	 4089
18 	 0.522624 	 3613
19 	 0.552564 	 3189
20 	 0.58134 	 2626
21 	 0.611137 	 2157
22 	 0.640737 	 1678
23 	 0.670318 	 1353
24 	 0.700169 	 1102
25 	 0.729881 	 830
26 	 0.760051 	 644
27 	 0.788933 	 555
28 	 0.81826 	 420
29 	 0.849982 	 306
30 	 0.879203 	 244
31 	 0.90794 	 198
32 	 0.939558 	 159
33 	 0.968963 	 148
34 	 0.996254 	 95
35 	 1.02894 	 73
36 	 1.056 	 62
37 	 1.08208 	 50
38 	 1.12418 	 30
39 	 1.1454 	 13
40 	 1.17831 	 13
41 	 1.20184 	 11
42 	 1.23456 	 10
43 	 1.26987 	 11
44 	 1.2923 	 5
45 	 1.32942 	 6
46 	 1.33887 	 3
47 	 1.37386 	 2
48 	 1.40904 	 3
49 	 1.41332 	 2
