1.000000000000000000e+00 1.053329999999999878e+00 8.816700000000000648e-01 1.121960000000000068e+00 8.106090909090909458e-01 9.966500000000000359e-01
1.000000000000000000e+01 1.017830000000000013e+00 1.156200000000000006e-01 2.621800000000000241e-01 1.185454545454545372e-01 1.808500000000000107e-01
2.000000000000000000e+01 1.013039999999999941e+00 5.184000000000000413e-02 1.669699999999999795e-01 6.494090909090909081e-02 9.997500000000000830e-02
3.000000000000000000e+01 1.011470000000000091e+00 3.330000000000000321e-02 1.301400000000000057e-01 5.232272727272727075e-02 7.535500000000000531e-02
4.000000000000000000e+01 1.010755000000000070e+00 2.520000000000000018e-02 1.070100000000000079e-01 4.964999999999999969e-02 6.583500000000000463e-02
5.000000000000000000e+01 1.010399999999999965e+00 2.238000000000000059e-02 8.981999999999999706e-02 5.304999999999999993e-02 6.452499999999999902e-02
6.000000000000000000e+01 1.010259999999999936e+00 2.121999999999999928e-02 7.502999999999999947e-02 6.027727272727273222e-02 6.86499999999999388e-02
7.000000000000000000e+01 1.010124999999999940e+00 2.043999999999999984e-02 6.053000000000000047e-02 6.741818181818181799e-02 7.139000000000000901e-02
8.000000000000000000e+01 1.010035000000000016e+00 2.011999999999999900e-02 4.576999999999999819e-02 7.486818181818181450e-02 7.666499999999999704e-02
8.400000000000000000e+01 1.010010000000000074e+00 2.001999999999999613e-02 4.046000000000000291e-02 7.801363636363636300e-02 7.973500000000000032e-02
