0	0.000000	2007
1	1.000000	1967
2	2.000000	4008
3	3.000000	5893
4	4.000000	7764
5	5.000000	9713
6	5.996431	11488
7	6.988082	13257
8	7.970454	14858
9	8.938181	16338
10	9.870417	17618
11	10.781367	18945
12	11.602398	20020
13	12.372859	21252
14	13.091444	21926
15	13.709157	22954
16	14.281307	23405
17	14.660522	23872
18	15.088742	24171
19	15.415228	24389
20	15.718313	24616
21	15.946713	24265
22	16.093727	23995
23	16.254654	23903
24	16.311274	23150
25	16.432827	22688
26	16.500715	22356
27	16.551937	21314
28	16.623539	20884
29	16.590982	19784
30	16.757305	19028
31	16.749594	17863
32	16.733980	16916
33	16.881758	15815
34	16.721239	14873
35	16.772491	13705
