FLOOD 6.12 1.721 24.58 17.923 6.95 2.124
BCIR 0.11 0.233 18.98 19.085 1.53 1.339
BCIR* 0.83 0.635 19.11 19.102 1.92 1.379
ABC 0.62 0.551 20.72 19.327 2.57 1.251
