Lattice 6.12 1.721 0.11 0.233 0.83 0.635 0.62 0.551
Manhattan 24.58 17.923 18.98 19.085 19.11 19.10 20.72 19.327
Mine 6.95 2.124 1.53 1.339 1.92 1.379 2.57 1.251
